index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
677,1990.0,four past midnight,stephen king,en-gb,,3.9,76376,nonfiction,640.22,384.132,5.38,779,harpercollins publishers,37368,,,,
678,2012.0,the marriage bargain,jennifer probst,eng,,3.81,91630,genre fiction,1307.81,784.686,10.99,781,random house llc,37368,,,,
679,1909.0,anne of avonlea,l.m. montgomery,en-us,,4.21,99918,genre fiction,117.81,70.686,0.99,782,"amazon digital services,  inc.",37368,,,,
680,1930.0,the little engine that could,"watty piper, doris hauman, george hauman",en-us,,4.15,82102,genre fiction,593.81,0.0,4.99,783,"amazon digital services,  inc.",37152,,,,
681,2013.0,we are all completely beside ourselves,karen joy fowler,eng,,3.71,59973,genre fiction,355.81,0.0,2.99,783,"amazon digital services,  inc.",37152,,,,
682,1996.0,children of the mind,orson scott card,eng,,3.74,74517,genre fiction,1022.21,613.326,8.59,784,"amazon digital services,  inc.",36936,,,,
683,1922.0,ulysses,james joyce,eng,,3.74,76791,genre fiction,117.81,0.0,0.99,786,"amazon digital services,  inc.",36936,,,,
684,1998.0,someone like you,sarah dessen,eng,,3.94,84358,nonfiction,355.81,213.486,2.99,786,simon and schuster digital sales inc,36936,,,,
685,2003.0,moloka'i,alan brennert,en-us,,4.15,75307,nonfiction,950.81,570.486,7.99,787,harpercollins christian publishing,36720,,,,
686,1990.0,the witching hour,anne rice,eng,,4.1,79824,nonfiction,357.54,214.524,3.03,789,"amazon digital services,  inc.",36504,,,,
687,1986.0,this present darkness,frank e. peretti,eng,,4.24,71815,genre fiction,352.82,0.0,2.99,791,"amazon digital services,  inc.",36504,,,,
688,2012.0,the coincidence of callie & kayden,jessica sorensen,eng,,4.21,97615,genre fiction,116.82,70.092,0.99,792,"amazon digital services,  inc.",36504,,,,
689,2015.0,fates and furies,lauren groff,eng,,3.56,66085,genre fiction,862.58,517.548,7.31,792,harpercollins publishers,36504,,,,
690,1998.0,summer sisters,judy blume,unknown,,3.83,73515,genre fiction,862.58,517.548,7.31,794,penguin group (usa) llc,36504,,,,
691,1945.0,stuart little,"e.b. white, garth williams",en-us,,3.88,89033,genre fiction,352.82,211.692,2.99,797,"amazon digital services,  inc.",36504,,,,
692,1953.0,the foundation trilogy,isaac asimov,eng,,4.39,72311,fiction,1060.82,636.492,8.99,797,harpercollins publishers,36504,,,,
693,1999.0,"the elegant universe: superstrings, hidden dimensions, and the quest for the ultimate theory",brian greene,en-us,,4.06,32626,genre fiction,352.82,0.0,2.99,798,"amazon digital services,  inc.",36288,,,,
694,2000.0,the austere academy,"lemony snicket, brett helquist",eng,,3.97,99311,genre fiction,116.82,0.0,0.99,799,"amazon digital services,  inc.",36288,,,,
695,2001.0,seven up,janet evanovich,en-us,,4.15,94506,genre fiction,1320.42,792.252,11.19,800,harpercollins publishers,36072,,,,
696,2009.0,the awakening,kelley armstrong,eng,,4.16,95026,genre fiction,761.1,456.66,6.45,802,simon and schuster digital sales inc,36072,,,,
697,2003.0,death masks,jim butcher,eng,,4.32,83664,children,654.9,392.94,5.55,802,"amazon digital services,  inc.",36072,,,,
698,1993.0,stellaluna,janell cannon,en-us,,4.22,87423,genre fiction,116.82,70.092,0.99,803,"amazon digital services,  inc.",36072,,,,
699,2007.0,before they are hanged,joe abercrombie,eng,,4.27,68865,genre fiction,116.82,70.092,0.99,804,random house llc,35856,,,,
700,2007.0,loving frank,nancy horan,en-us,,3.73,72734,genre fiction,824.82,494.892,6.99,804,hachette book group,35640,,,,
701,2002.0,hard eight,"janet evanovich, lorelei king",en-us,,4.17,93057,nonfiction,1060.82,636.492,8.99,805,random house llc,35640,,,,
702,2001.0,the vile village,"lemony snicket, brett helquist",eng,,3.94,89733,genre fiction,706.82,424.092,5.99,808,penguin group (usa) llc,35640,,,,
703,1973.0,sybil,flora rheta schreiber,en-us,,3.99,72493,nonfiction,502.68,301.608,4.26,809,harpercollins publishing,35640,,,,
704,1980.0,cosmos,carl sagan,eng,,4.35,76440,nonfiction,1131.62,678.972,9.59,810,penguin group (usa) llc,35640,,,,
705,2005.0,haunted: a novel of stories,chuck palahniuk,eng,,3.59,68861,fiction,234.82,140.892,1.99,810,simon and schuster digital sales inc,35424,,,,
706,1987.0,the shell seekers,rosamunde pilcher,eng,,4.13,73573,genre fiction,588.82,0.0,4.99,811,"amazon digital services,  inc.",35424,,,,
707,2006.0,what is the what: the autobiography of valentino achak deng,dave eggers,eng,,4.16,59333,genre fiction,1680.32,1008.192,14.24,811,penguin group (usa) llc,35424,,,,
709,1891.0,a scandal in bohemia,"ronald holt, arthur conan doyle",unknown,,4.22,65422,nonfiction,352.82,211.692,2.99,814,"amazon digital services,  inc.",35208,,,,
710,2011.0,killing lincoln: the shocking assassination that changed america forever,"bill o'reilly, martin dugard",eng,,4.02,71868,children,872.02,523.212,7.39,816,"amazon digital services,  inc.",35208,,,,
711,2013.0,the lowland,jhumpa lahiri,eng,,3.82,62231,genre fiction,470.82,282.492,3.99,818,"amazon digital services,  inc.",35208,,,,
712,2004.0,the ruins of gorlan,john flanagan,eng,,4.2,83085,nonfiction,824.82,494.892,6.99,818,random house llc,34992,,,,
713,2009.0,wintergirls,laurie halse anderson,eng,,3.98,87665,genre fiction,352.82,0.0,2.99,819,"amazon digital services,  inc.",34992,,,,
714,2000.0,the brethren,john grisham,unknown,,3.71,69351,fiction,942.82,565.692,7.99,820,penguin group (usa) llc,34992,,,,
715,1997.0,assassin's quest,robin hobb,eng,,4.18,67125,genre fiction,470.82,0.0,3.99,821,"amazon digital services,  inc.",34776,,,,
716,1967.0,rosemary's baby,ira levin,eng,,3.96,78766,genre fiction,588.82,0.0,4.99,823,"amazon digital services,  inc.",34776,,,,
717,1984.0,the talisman,"stephen king, peter straub",en-us,,4.12,79508,nonfiction,234.82,140.892,1.99,823,"amazon digital services,  inc.",34776,,,,
718,1998.0,the path of daggers,robert jordan,eng,,3.9,74815,genre fiction,234.82,140.892,1.99,824,"amazon digital services,  inc.",34560,,,,
719,1958.0,the dharma bums,jack kerouac,en-us,,3.94,62454,children,725.7,435.42,6.15,825,"amazon digital services,  inc.",34560,,,,
720,2010.0,the reckoning,kelley armstrong,en-gb,,4.21,92922,genre fiction,466.83,0.0,3.99,826,"amazon digital services,  inc.",34560,,,,
721,2012.0,"behind the beautiful forevers: life, death, and hope in a mumbai undercity",katherine boo,en-us,,3.97,69596,fiction,934.83,560.898,7.99,827,random house llc,34344,,,,
722,1934.0,mary poppins,"p.l. travers, mary shepard",en-us,,4.05,82706,genre fiction,349.83,209.898,2.99,830,"amazon digital services,  inc.",34128,,,,
723,2007.0,red seas under red skies,scott lynch,eng,,4.23,68255,genre fiction,349.83,209.898,2.99,831,"amazon digital services,  inc.",34128,,,,
724,1984.0,the house on mango street,sandra cisneros,eng,,3.57,81579,genre fiction,115.83,0.0,0.99,832,"amazon digital services,  inc.",34128,,,,
725,2008.0,city of thieves,david benioff,en-gb,,4.28,68063,genre fiction,232.83,139.698,1.99,832,harpercollins publishers,34128,,,,
726,2007.0,halfway to the grave,jeaniene frost,eng,,4.18,106608,genre fiction,232.83,139.698,1.99,834,"amazon digital services,  inc.",33912,,,,
727,1980.0,the twits,"roald dahl, quentin blake",eng,,3.94,82458,genre fiction,855.27,513.162,7.31,836,random house llc,33696,,,,
728,2003.0,abhorsen,garth nix,en-us,,4.29,80740,nonfiction,1519.83,911.898,12.99,836,"amazon digital services,  inc.",33696,,,,
729,2002.0,the beach house,"james patterson, peter de jonge",eng,,3.82,68676,genre fiction,466.83,0.0,3.99,837,"amazon digital services,  inc.",33480,,,,
730,1987.0,eyes of the dragon,stephen king,eng,,3.92,72714,nonfiction,700.83,420.498,5.99,837,harpercollins publishers,33264,,,,
731,1976.0,children of dune,frank herbert,eng,,3.9,74133,genre fiction,115.83,0.0,0.99,838,"amazon digital services,  inc.",33264,,,,
732,2011.0,leviathan wakes,james s.a. corey,eng,,4.2,68416,nonfiction,1689.48,1013.688,14.44,840,harpercollins publishers,33048,,,,
733,2015.0,queen of shadows,sarah j. maas,eng,,4.6,99067,genre fiction,349.83,209.898,2.99,841,macmillan,33048,,,,
734,1991.0,maus ii : and here my troubles began,art spiegelman,eng,,4.41,90147,nonfiction,583.83,350.298,4.99,842,hachette book group,32832,,,,
735,1962.0,the snowy day,ezra jack keats,eng,,4.13,81914,genre fiction,1170.0,702.0,10.0,843,"amazon digital services,  inc.",32832,,,,
736,2003.0,to the nines,janet evanovich,eng,,4.16,86963,genre fiction,1402.83,841.698,11.99,844,penguin group (usa) llc,32832,,,,
737,2012.0,where we belong,emily giffin,en-us,,3.86,68224,nonfiction,115.83,0.0,0.99,845,"amazon digital services,  inc.",32616,,,,
738,1994.0,the hot zone: the terrifying true story of the origins of the ebola virus,richard   preston,eng,,4.1,72207,genre fiction,349.83,0.0,2.99,846,"amazon digital services,  inc.",32616,,,,
740,2012.0,the signature of all things,elizabeth gilbert,eng,,3.81,61135,nonfiction,232.83,139.698,1.99,848,"amazon digital services,  inc.",32400,,,,
741,2003.0,"eats, shoots and leaves",lynne truss,en-us,,3.86,79117,genre fiction,466.83,0.0,3.99,852,"amazon digital services,  inc.",32184,,,,
742,2004.0,dead witch walking,kim harrison,en-us,,4.04,91390,nonfiction,349.83,0.0,2.99,852,"amazon digital services,  inc.",32184,,,,
743,1986.0,unknown,"clement c. moore, jan brett",en-us,,4.36,81553,genre fiction,466.83,0.0,3.99,853,"amazon digital services,  inc.",32184,,,,
744,2009.0,an echo in the bone,diana gabaldon,eng,,4.42,68854,genre fiction,1391.13,834.678,11.89,854,simon and schuster digital sales inc,32184,,,,
745,2011.0,unearthly,cynthia hand,en-us,,4.06,99942,genre fiction,232.83,139.698,1.99,857,hachette book group,31968,,,,
746,1988.0,the case for christ,lee strobel,unknown,,4.1,67128,genre fiction,799.11,479.466,6.83,859,macmillan,31752,,,,
747,2005.0,knife of dreams,robert jordan,en-us,,4.12,71379,genre fiction,349.83,0.0,2.99,860,"amazon digital services,  inc.",31752,,,,
748,2002.0,hoot,carl hiaasen,eng,,3.81,75275,genre fiction,583.83,350.298,4.99,862,penguin group (usa) llc,31752,,,,
752,1992.0,ishmael: an adventure of the mind and spirit,daniel quinn,en-us,,3.97,63304,genre fiction,892.04,535.224,7.69,867,random house llc,31536,,,,
753,2010.0,it's not summer without you,jenny han,en-us,,4.14,80367,genre fiction,346.84,0.0,2.99,868,"amazon digital services,  inc.",31536,,,,
754,2012.0,pushing the limits,katie mcgarry,eng,,4.08,93818,genre fiction,462.84,0.0,3.99,869,"amazon digital services,  inc.",31320,,,,
755,2001.0,quidditch through the ages,"kennilworthy whisp, j.k. rowling",eng,,3.85,90908,genre fiction,114.84,68.904,0.99,869,random house llc,31320,,,,
756,1977.0,miss nelson is missing!,"harry allard, james  marshall",eng,,4.26,77206,genre fiction,1158.84,695.304,9.99,871,penguin group (usa) llc,31320,,,,
757,1979.0,the long walk,"richard bachman, stephen king",eng,,4.11,71775,nonfiction,462.84,277.704,3.99,871,hachette book group,31320,,,,
758,2001.0,the ersatz elevator,"lemony snicket, brett helquist",eng,,4.01,90071,nonfiction,230.84,138.504,1.99,873,random house llc,31104,,,,
759,2004.0,messenger,lois lowry,eng,,3.9,79746,genre fiction,462.84,277.704,3.99,877,"amazon digital services,  inc.",30888,,,,
760,2007.0,lover revealed,j.r. ward,eng,,4.3,97830,genre fiction,694.84,0.0,5.99,879,"amazon digital services,  inc.",30888,,,,
761,2005.0,salem's lot the illustrated edition,"stephen king, jerry n. uelsmann",eng,,4.25,72797,genre fiction,770.24,462.144,6.64,879,hachette book group,30672,,,,
762,2007.0,the mysterious benedict society,"trenton lee stewart, carson ellis",en-us,,4.14,87335,genre fiction,114.84,68.904,0.99,881,"amazon digital services,  inc.",30672,,,,
763,2007.0,god is not great: how religion poisons everything,christopher hitchens,eng,,3.96,64347,children,694.84,416.904,5.99,883,"amazon digital services,  inc.",30456,,,,
764,2013.0,"never too far (too far, #2)",abbi glines,eng,,4.21,97616,genre fiction,114.84,68.904,0.99,884,"amazon digital services,  inc.",30456,,,,
765,2004.0,state of fear,michael crichton,eng,,3.69,65397,genre fiction,114.84,68.904,0.99,885,"amazon digital services,  inc.",30240,,,,
766,2012.0,the statistical probability of love at first sight,jennifer e. smith,eng,,3.8,89356,genre fiction,114.84,0.0,0.99,886,"amazon digital services,  inc.",30240,,,,
767,2004.0,the golem's eye,jonathan stroud,en-us,,4.09,69058,nonfiction,810.84,486.504,6.99,886,simon and schuster digital sales inc,29808,,,,
768,1980.0,still life with woodpecker,tom robbins,eng,,4.04,56802,genre fiction,346.84,0.0,2.99,887,"amazon digital services,  inc.",29808,,,,
769,2004.0,those who save us,jenna blum,en-us,,4.12,68480,genre fiction,114.84,0.0,0.99,890,"amazon digital services,  inc.",29808,,,,
770,2005.0,the broker,john grisham,eng,,3.77,65428,genre fiction,114.84,68.904,0.99,892,"amazon digital services,  inc.",29592,,,,
771,2011.0,across the universe,beth revis,eng,,3.78,94176,genre fiction,462.84,0.0,3.99,892,"amazon digital services,  inc.",29376,,,,
772,1978.0,"the road less traveled:  a new psychology of love, traditional values, and spiritual growth",m. scott peck,en-us,,4.03,61238,nonfiction,1042.84,625.704,8.99,893,"amazon digital services,  inc.",29160,,,,
773,2004.0,blood rites,jim butcher,eng,,4.33,79627,nonfiction,1041.68,625.008,8.98,894,"amazon digital services,  inc.",28944,,,,
774,1942.0,the boxcar children,"gertrude chandler warner, l. kate deal",en-us,,4.09,92916,genre fiction,1506.84,904.104,12.99,894,simon and schuster digital sales inc,28944,,,,
775,2013.0,the silent wife,a.s.a. harrison,eng,,3.3,60323,nonfiction,784.16,470.496,6.76,897,"amazon digital services,  inc.",28728,,,,
776,2011.0,how to be a woman,caitlin moran,eng,,3.73,70446,genre fiction,346.84,0.0,2.99,898,"amazon digital services,  inc.",28512,,,,
777,2016.0,a court of mist and fury,sarah j. maas,eng,,4.72,108384,genre fiction,1158.84,695.304,9.99,900,simon and schuster digital sales inc,28512,,,,
778,2010.0,life,keith richards,en-gb,,3.84,60409,genre fiction,926.84,556.104,7.99,900,random house llc,28512,,,,
779,2008.0,unaccustomed earth,jhumpa lahiri,eng,,4.11,60126,genre fiction,458.85,0.0,3.99,903,"amazon digital services,  inc.",28296,,,,
780,1998.0,the pilot's wife,anita shreve,eng,,3.5,71777,genre fiction,1367.35,820.41,11.89,904,simon and schuster digital sales inc,28296,,,,
781,1985.0,white noise,don delillo,eng,,3.86,55678,genre fiction,573.85,0.0,4.99,905,"amazon digital services,  inc.",28296,,,,
782,1992.0,"band of brothers: e company, 506th regiment, 101st airborne from normandy to hitler's eagle's nest",stephen e. ambrose,eng,,4.42,66079,genre fiction,343.85,0.0,2.99,907,"amazon digital services,  inc.",2943,,,,
783,1859.0,on the origin of species by means of natural selection or the preservation of favoured races in the struggle for life,charles darwin,eng,,3.97,64162,genre fiction,1033.85,620.31,8.99,909,harpercollins publishers,2943,,,,
784,2003.0,blankets,craig thompson,eng,,4.06,70454,genre fiction,343.85,0.0,2.99,909,"amazon digital services,  inc.",2943,,,,
785,2008.0,the story of edgar sawtelle,david wroblewski,eng,,3.6,70382,nonfiction,343.85,0.0,2.99,910,"amazon digital services,  inc.",2943,,,,
786,2000.0,drowning ruth,christina schwarz,eng,,3.73,67768,genre fiction,573.85,0.0,4.99,911,"amazon digital services,  inc.",2916,,,,
787,1971.0,post office,charles bukowski,en-us,,4.01,59295,nonfiction,343.85,206.31,2.99,913,harpercollins publishers,2916,,,,
788,1992.0,all the pretty horses,cormac mccarthy,eng,,3.97,68451,genre fiction,458.85,0.0,3.99,914,"amazon digital services,  inc.",2916,,,,
789,1914.0,"sherlock holmes: the complete novels and stories, vol 2","arthur conan doyle, kyle freeman",unknown,,4.46,66857,nonfiction,1263.85,758.31,10.99,914,random house llc,2916,,,,
791,1968.0,the last unicorn,peter s. beagle,eng,,4.18,76277,genre fiction,343.85,0.0,2.99,916,"amazon digital services,  inc.",2916,,,,
792,2005.0,magyk,angie sage,eng,,3.8,86805,genre fiction,343.85,206.31,2.99,917,"amazon digital services,  inc.",2916,,,,
793,2000.0,fever 1793,laurie halse anderson,en-us,,3.89,81945,genre fiction,458.85,0.0,3.99,918,"amazon digital services,  inc.",2916,,,,
794,2008.0,the likeness,tana french,eng,,4.05,72480,genre fiction,803.85,482.31,6.99,920,penguin group (usa) llc,2916,,,,
795,2015.0,dead wake: the last crossing of the lusitania,erik larson,eng,,4.07,61439,genre fiction,930.35,558.21,8.09,921,penguin group (usa) llc,2916,,,,
796,1894.0,the jungle book,rudyard kipling,eng,,3.94,67107,fiction,113.85,68.31,0.99,922,"amazon digital services,  inc.",2916,,,,
797,2013.0,i am pilgrim,terry hayes,eng,,4.23,49740,genre fiction,573.85,344.31,4.99,924,"amazon digital services,  inc.",2916,,,,
798,1956.0,howl and other poems,"allen ginsberg, william carlos williams",eng,,4.14,71968,nonfiction,1269.6,761.76,11.04,926,harpercollins publishers,2916,,,,
799,1997.0,don't sweat the small stuff,richard carlson,eng,,3.95,63324,genre fiction,884.35,530.61,7.69,927,random house llc,2916,,,,
801,1992.0,mostly harmless,douglas adams,en-us,,3.96,72426,nonfiction,573.85,344.31,4.99,931,simon and schuster digital sales inc,2916,,,,
802,2003.0,benjamin franklin: an american life,walter isaacson,eng,,3.96,70335,genre fiction,573.85,344.31,4.99,933,macmillan,2916,,,,
804,2005.0,poison study,maria v. snyder,eng,,4.16,96417,genre fiction,343.85,0.0,2.99,937,"amazon digital services,  inc.",2916,,,,
805,2007.0,lover unbound,j.r. ward,eng,,4.33,97514,fiction,910.86,546.516,7.99,938,"amazon digital services,  inc.",2916,,,,
806,2004.0,going postal,terry pratchett,eng,,4.36,75186,fiction,1366.86,820.116,11.99,939,penguin group (usa) llc,2916,,,,
807,1830.0,the book of mormon,"anonymous, joseph smith jr.",eng,,4.37,63530,genre fiction,1366.86,820.116,11.99,941,random house llc,2916,,,,
808,1980.0,the mist,stephen king,en-us,,3.92,82062,nonfiction,340.86,204.516,2.99,943,"amazon digital services,  inc.",2916,,,,
809,2005.0,dead beat,jim butcher,eng,,4.43,78123,genre fiction,568.86,0.0,4.99,944,"amazon digital services,  inc.",2916,,,,
810,2015.0,golden son,pierce brown,eng,,4.46,57614,genre fiction,112.86,0.0,0.99,946,"amazon digital services,  inc.",2916,,,,
811,2002.0,night watch,terry pratchett,eng,,4.47,71271,nonfiction,910.86,546.516,7.99,947,"amazon digital services,  inc.",2916,,,,
812,1986.0,the light fantastic,terry pratchett,en-us,,3.94,75196,nonfiction,112.86,67.716,0.99,949,"amazon digital services,  inc.",2916,,,,
813,2009.0,what the dog saw and other adventures,malcolm gladwell,eng,,3.82,65277,genre fiction,876.66,525.996,7.69,950,random house llc,2916,,,,
814,2015.0,pretty girls,karin slaughter,eng,,3.95,60737,genre fiction,226.86,0.0,1.99,952,"amazon digital services,  inc.",2916,,,,
815,2008.0,last argument of kings,joe abercrombie,eng,,4.26,65068,genre fiction,568.86,341.316,4.99,952,macmillan,2916,,,,
816,2014.0,revival,stephen king,en-us,,3.75,53662,genre fiction,568.86,0.0,4.99,953,"amazon digital services,  inc.",2916,,,,
817,1954.0,horton hears a who!,dr. seuss,eng,,4.16,80883,genre fiction,112.86,67.716,0.99,955,"amazon digital services,  inc.",2916,,,,
818,2006.0,the blind side: evolution of a game,michael   lewis,eng,,4.16,37792,children,226.86,136.116,1.99,956,harpercollins publishers,2889,,,,
819,2001.0,lirael,garth nix,en-us,,4.29,78903,genre fiction,876.66,525.996,7.69,957,penguin group (usa) llc,2889,,,,
820,2006.0,school's out forever,james patterson,en-us,,4.16,90157,fiction,340.86,204.516,2.99,958,"amazon digital services,  inc.",2889,,,,
822,2015.0,winter,marissa meyer,eng,,4.49,100464,nonfiction,397.86,0.0,3.49,961,"amazon digital services,  inc.",2889,,,,
823,1886.0,the strange case of dr. jekyll and mr. hyde and other tales of terror,"robert louis stevenson, robert mighall",eng,,3.94,80299,genre fiction,568.86,341.316,4.99,963,random house llc,2889,,,,
824,2012.0,unknown,emily seife,en-us,,4.4,67264,genre fiction,340.86,0.0,2.99,963,"amazon digital services,  inc.",2889,,,,
825,2008.0,the painted man,peter v. brett,eng,,4.27,64416,genre fiction,454.86,272.916,3.99,966,"amazon digital services,  inc.",2889,,,,
826,1678.0,unknown,john bunyan,unknown,,3.98,67777,genre fiction,856.14,513.684,7.51,967,penguin group (usa) llc,2889,,,,
827,2005.0,one shot,lee child,eng,,4.2,63335,genre fiction,340.86,204.516,2.99,968,simon and schuster digital sales inc,2889,,,,
828,2012.0,the serpent's shadow,rick riordan,eng,,4.28,82757,genre fiction,345.42,0.0,3.03,968,"amazon digital services,  inc.",2889,,,,
829,2008.0,duma key,stephen king,en-us,,3.93,73807,genre fiction,844.74,506.844,7.41,969,macmillan,2889,,,,
830,2006.0,the shifting fog,kate morton,eng,,3.93,69948,genre fiction,228.0,0.0,2.0,970,"amazon digital services,  inc.",2889,,,,
831,2000.0,unknown,robert jordan,en-us,,3.92,71355,fiction,597.36,358.416,5.24,970,"amazon digital services,  inc.",2889,,,,
832,2006.0,proven guilty,jim butcher,eng,,4.41,75133,genre fiction,778.62,467.172,6.83,971,simon and schuster digital sales inc,2889,,,,
834,1940.0,the heart is a lonely hunter,carson mccullers,eng,,3.97,67643,genre fiction,454.86,0.0,3.99,972,"amazon digital services,  inc.",2889,,,,
835,2014.0,the infinite sea,rick yancey,eng,,3.94,78314,genre fiction,454.86,0.0,3.99,973,"amazon digital services,  inc.",2889,,,,
836,1958.0,the once and future king,t.h. white,eng,,4.08,76911,nonfiction,746.7,448.02,6.55,973,macmillan,2889,,,,
837,1992.0,small gods,terry pratchett,en-gb,,4.27,72588,genre fiction,1220.4,732.24,10.8,977,harpercollins publishers,2889,,,,
838,1999.0,"bud, not buddy",christopher paul curtis,eng,,3.89,73000,genre fiction,431.66,258.996,3.82,980,"amazon digital services,  inc.",2889,,,,
839,2006.0,unknown,alison bechdel,eng,,4.12,48305,genre fiction,902.87,541.722,7.99,981,hachette book group,2889,,,,
840,2007.0,predictably irrational: the hidden forces that shape our decisions,dan ariely,en-us,,4.1,61496,genre fiction,563.87,0.0,4.99,982,"amazon digital services,  inc.",2889,,,,
842,1980.0,the indian in the cupboard,lynne reid banks,eng,,3.89,77046,genre fiction,450.87,0.0,3.99,985,"amazon digital services,  inc.",2889,,,,
843,2012.0,a memory of light,"robert jordan, brandon sanderson",eng,,4.5,68410,genre fiction,450.87,0.0,3.99,986,"amazon digital services,  inc.",2889,,,,
844,2012.0,me and earl and the dying girl,jesse andrews,en-us,,3.58,82270,nonfiction,1241.87,745.122,10.99,988,random house llc,2889,,,,
845,2010.0,the ugly truth,jeff kinney,en-us,,4.16,68701,nonfiction,111.87,67.122,0.99,990,"amazon digital services,  inc.",2889,,,,
846,2002.0,"janet evanovich three and four two-book set (stephanie plum, #3-4)",janet evanovich,unknown,,4.34,63691,genre fiction,169.5,101.7,1.5,992,harpercollins publishers,2889,,,,
847,1998.0,"the surgeon of crowthorne: a tale of murder, madness & the love of words",simon winchester,eng,,3.84,71411,genre fiction,450.87,270.522,3.99,993,simon and schuster digital sales inc,2862,,,,
848,2002.0,2nd chance,"james patterson, andrew gross",eng,,4.01,68834,genre fiction,1388.77,833.262,12.29,993,harpercollins publishers,2862,,,,
849,1986.0,the complete maus,art spiegelman,en-gb,,4.53,76785,nonfiction,111.87,67.122,0.99,994,"amazon digital services,  inc.",2862,,,,
850,2001.0,the eyre affair,jasper fforde,en-us,,3.92,85683,nonfiction,111.87,67.122,0.99,995,"amazon digital services,  inc.",2862,,,,
852,1978.0,unknown,"louis sachar, adam mccauley",eng,,4.14,74121,genre fiction,864.45,518.67,7.65,997,penguin group (usa) llc,2862,,,,
853,1998.0,the art of happiness: a handbook for living,"dalai lama xiv, howard c. cutler",eng,,4.14,61498,nonfiction,1327.75,796.65,11.75,1000,random house llc,2862,,,,
854,2014.0,the bone clocks,david mitchell,eng,,3.81,53151,genre fiction,781.96,469.176,6.92,1001,random house llc,2862,,,,
855,1998.0,black and blue,anna quindlen,eng,,3.86,67753,genre fiction,450.87,270.522,3.99,1001,"amazon digital services,  inc.",2862,,,,
856,2010.0,unknown,"l.j. smith, kevin williamson, julie plec",en-us,,4.1,59715,genre fiction,337.87,0.0,2.99,1004,"amazon digital services,  inc.",2862,,,,
857,2004.0,the last juror,john grisham,eng,,3.85,63114,nonfiction,970.67,582.402,8.59,1005,penguin group (usa) llc,2862,,,,
858,2003.0,diary,chuck palahniuk,eng,,3.6,58428,genre fiction,1015.87,609.522,8.99,1006,hachette book group,2862,,,,
859,2005.0,eleven on top,janet evanovich,en-us,,4.15,84363,genre fiction,846.37,507.822,7.49,1006,penguin group (usa) llc,2862,,,,
860,2005.0,tintenblut,"cornelia funke, anthea bell",eng,,3.91,82291,genre fiction,789.87,473.922,6.99,1007,"amazon digital services,  inc.",2862,,,,
861,2003.0,"sex, drugs, and cocoa puffs: a low culture manifesto",chuck klosterman,en-us,,3.75,56548,genre fiction,111.87,67.122,0.99,1007,"amazon digital services,  inc.",2862,,,,
862,1945.0,brideshead revisited: the sacred and profane memories of captain charles ryder,evelyn waugh,eng,,3.99,69087,nonfiction,224.87,134.922,1.99,1008,"amazon digital services,  inc.",2862,,,,
863,2007.0,white night,jim butcher,en-us,,4.41,73534,fiction,111.87,67.122,0.99,1009,"amazon digital services,  inc.",2862,,,,
864,2014.0,the miniaturist,jessie burton,eng,,3.58,56344,genre fiction,224.87,134.922,1.99,1010,harpercollins publishers,2862,,,,
865,1984.0,dragons of autumn twilight,"margaret weis, tracy hickman",en-us,,4.03,76219,nonfiction,992.14,595.284,8.78,1011,simon and schuster digital sales inc,2862,,,,
866,2006.0,the lost colony,eoin colfer,en-us,,4.01,103844,nonfiction,282.5,169.5,2.5,1012,"amazon digital services,  inc.",2862,,,,
867,2006.0,extras,scott westerfeld,en-us,,3.59,85873,genre fiction,110.88,66.528,0.99,1013,"amazon digital services,  inc.",2862,,,,
868,2005.0,the burning bridge,john flanagan,en-us,,4.28,74156,nonfiction,838.88,503.328,7.49,1015,macmillan,2862,,,,
869,2014.0,the book of life,deborah harkness,eng,,4.15,63027,genre fiction,334.88,0.0,2.99,1019,"amazon digital services,  inc.",2862,,,,
870,1992.0,the artist's way: a spiritual path to higher creativity,julia cameron,eng,,3.89,66049,genre fiction,670.88,0.0,5.99,1020,"amazon digital services,  inc.",4480,,,,
871,1992.0,the stinky cheese man and other fairly stupid tales,"jon scieszka, lane smith",eng,,4.2,78487,nonfiction,334.88,200.928,2.99,1020,"amazon digital services,  inc.",4480,,,,
872,2009.0,horns,joe hill,en-us,,3.92,66287,nonfiction,334.88,200.928,2.99,1022,hachette book group,4480,,,,
873,2011.0,catherine the great: portrait of a woman,robert k. massie,en-ca,,3.91,66591,genre fiction,110.88,0.0,0.99,1023,"amazon digital services,  inc.",4480,,,,
874,2009.0,the year of the flood,margaret atwood,eng,,4.05,68597,genre fiction,894.88,536.928,7.99,1024,simon and schuster digital sales inc,4480,,,,
875,2009.0,winter garden,kristin hannah,en-gb,,4.13,66577,genre fiction,334.88,0.0,2.99,1027,"amazon digital services,  inc.",4480,,,,
876,2003.0,the king of torts,john grisham,eng,,3.67,61835,nonfiction,670.88,402.528,5.99,1027,harpercollins publishers,4480,,,,
877,2006.0,lone survivor: the eyewitness account of operation redwing and the lost heroes of seal team 10,"marcus luttrell, patrick robinson",eng,,4.34,46551,genre fiction,446.88,0.0,3.99,1030,"amazon digital services,  inc.",4440,,,,
