index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
533,1859.0,the woman in white,"wilkie collins, matthew sweet",eng,,3.98,93134,genre fiction,768.46,0.0,4.99,594,"amazon digital services,  inc.",4158,,,,
534,2015.0,career of evil,"robert galbraith, j.k. rowling",eng,,4.21,66979,genre fiction,1167.32,700.392,7.58,595,penguin group (usa) llc,4158,,,,
535,2009.0,the summer i turned pretty,jenny han,en-us,,3.96,104730,genre fiction,610.47,0.0,3.99,596,"amazon digital services,  inc.",4131,,,,
536,1998.0,four to score,janet evanovich,en-us,,4.17,106871,genre fiction,151.47,90.882,0.99,597,"amazon digital services,  inc.",4131,,,,
537,1996.0,the color of water: a black man's tribute to his white mother,james mcbride,en-us,,4.06,80906,genre fiction,151.47,0.0,0.99,598,"amazon digital services,  inc.",4131,,,,
538,2009.0,"superfreakonomics: global cooling, patriotic prostitutes, and why suicide bombers should buy life insurance","steven d. levitt, stephen j. dubner",en-us,,3.95,85006,genre fiction,1176.57,705.942,7.69,600,penguin group (usa) llc,4131,,,,
539,2006.0,darkfever,karen marie moning,eng,,4.14,110812,genre fiction,1618.8,971.28,10.65,601,penguin group (usa) llc,4104,,,,
540,1995.0,stone of tears,terry goodkind,en-us,,4.1,83235,genre fiction,1111.12,666.672,7.31,603,penguin group (usa) llc,4104,,,,
541,2010.0,heart of the matter,emily giffin,en-us,,3.73,83461,genre fiction,910.48,546.288,5.99,603,simon and schuster digital sales inc,4104,,,,
542,1847.0,vanity fair: a novel without a hero,"william makepeace thackeray, john carey",eng,,3.76,91323,genre fiction,149.49,0.0,0.99,605,"amazon digital services,  inc.",4077,,,,
543,1959.0,the sirens of titan,kurt vonnegut jr.,en-gb,,4.16,72493,genre fiction,151.0,90.6,1.0,607,"amazon digital services,  inc.",4077,,,,
544,1992.0,dolores claiborne,"stephen king, dominique dill",fre,,3.81,71053,genre fiction,661.38,396.828,4.38,608,"amazon digital services,  inc.",4077,,,,
545,2016.0,the nest,cynthia d'aprix sweeney,eng,,3.45,79762,nonfiction,1508.49,905.094,9.99,608,"amazon digital services,  inc.",4077,,,,
546,2001.0,"fables, volume 1: legends in exile","bill willingham, lan medina, steve leialoha, craig hamilton, james jean",eng,,3.99,101016,genre fiction,1125.0,675.0,7.5,610,penguin group (usa) llc,4050,,,,
547,2001.0,getting things done: how to achieve stress-free productivity,david    allen,en-gb,,3.98,75665,genre fiction,598.5,0.0,3.99,611,"amazon digital services,  inc.",4050,,,,
548,1993.0,the celestine prophecy,james redfield,en-us,,3.6,72675,genre fiction,594.51,356.706,3.99,615,penguin group (usa) llc,4023,,,,
549,2012.0,my life next door,huntley fitzpatrick,eng,,4.02,102012,genre fiction,594.51,356.706,3.99,615,simon and schuster digital sales inc,4023,,,,
